STOP_LOCATION_PRECINCT,count
46,1518
48,1110
40,754
44,732
75,540
43,516
42,509
52,469
14,340
47,339
73,318
23,299
25,253
79,253
103,236
32,235
67,235
114,227
28,223
120,216
83,211
77,205
34,205
109,205
106,201
113,201
41,201
49,200
45,200
24,197
60,193
81,186
84,186
105,185
112,172
110,172
90,171
18,168
63,167
71,156
121,150
20,149
30,143
50,141
13,141
104,133
6,128
115,127
72,124
70,123
101,122
76,121
94,121
9,119
69,115
19,110
61,108
102,107
26,105
107,103
88,102
33,101
123,99
122,97
68,96
7,92
78,88
1,86
62,84
66,81
100,79
108,76
10,75
5,73
17,71
111,47
22,30
